mineral,fiscal_year,Export,Import,trade_balance,import_dependency,production_mt,production_value_inr_cr,production_value_usd_mn,total_supply_mn,true_import_dependency,self_sufficiency
Copper,2017-2018,2773.21,6062.76,-3289.55,0.69,5500,1785,44.0,6106.76,0.99,0.01
Copper,2018-2019,651.34,4179.6,-3528.26,0.87,5670,1905,45.36,4224.96,0.99,0.01
Copper,2019-2020,590.76,3547.53,-2956.77,0.86,5400,1825,43.2,3590.73,0.99,0.01
Copper,2020-2021,911.43,2523.17,-1611.74,0.73,5030,1675,40.24,2563.41,0.98,0.02
Copper,2021-2022,1393.03,5226.29,-3833.26,0.79,5900,2035,47.2,5273.49,0.99,0.01
Copper,2022-2023,750.45,5828.88,-5078.43,0.89,6330,2223,50.64,5879.52,0.99,0.01
Copper,2023-2024,1354.09,7379.16,-6025.07,0.84,6700,2400,53.6,7432.76,0.99,0.01
Copper,2024-2025,993.42,7732.65,-6739.23,0.89,6970,2577,55.76,7788.41,0.99,0.01
Graphite,2017-2018,34.27,120.04,-85.77,0.78,65000,325,97.5,217.54,0.55,0.45
Graphite,2018-2019,53.93,129.13,-75.2,0.71,70500,360,105.75,234.88,0.55,0.45
Graphite,2019-2020,50.51,95.31,-44.8,0.65,67000,342,100.5,195.81,0.49,0.51
Graphite,2020-2021,38.65,97.63,-58.98,0.72,59500,305,89.25,186.88,0.52,0.48
Graphite,2021-2022,55.43,144.62,-89.19,0.72,77000,402,115.5,260.12,0.56,0.44
Graphite,2022-2023,53.02,185.64,-132.62,0.78,83000,442,124.5,310.14,0.6,0.4
Graphite,2023-2024,59.94,193.32,-133.38,0.76,89500,485,134.25,327.57,0.59,0.41
Graphite,2024-2025,62.26,169.65,-107.39,0.73,93000,520,139.5,309.15,0.55,0.45
Lithium,2017-2018,31.43,295.01,-263.58,0.9,0,0,0.0,295.01,1.0,0.0
Lithium,2018-2019,31.85,310.94,-279.09,0.91,0,0,0.0,310.94,1.0,0.0
Lithium,2019-2020,25.84,253.23,-227.39,0.91,0,0,0.0,253.23,1.0,0.0
Lithium,2020-2021,52.04,232.41,-180.37,0.82,0,0,0.0,232.41,1.0,0.0
Lithium,2021-2022,47.07,374.07,-327.0,0.89,0,0,0.0,374.07,1.0,0.0
Lithium,2022-2023,76.82,493.68,-416.86,0.87,0,0,0.0,493.68,1.0,0.0
Lithium,2023-2024,76.97,376.27,-299.3,0.83,0,0,0.0,376.27,1.0,0.0
Lithium,2024-2025,108.94,383.87,-274.93,0.78,0,0,0.0,383.87,1.0,0.0
