hs_code,mineral,form,flow,country,fiscal_year,value_usd_mn,source_file,year
7408,Copper,Copper Wire,Export,AFGHANISTAN,2017-2018,0.56,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,AUSTRALIA,2017-2018,0.27,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,AUSTRALIA,2017-2018,1.4,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,AUSTRIA,2017-2018,0.29,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,BAHARAIN IS,2017-2018,0.01,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,BANGLADESH PR,2017-2018,6.24,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,BANGLADESH PR,2017-2018,4.5,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,BELGIUM,2017-2018,0.26,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,BENIN,2017-2018,0.01,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,BHUTAN,2017-2018,0.29,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,BRAZIL,2017-2018,0.26,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,CAMBODIA,2017-2018,0.02,7403_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,CANADA,2017-2018,0.03,7403_2018-19.xlsx,2017
2603,Copper,Copper Ores & Concentrates,Export,CHINA,2017-2018,58.98,2603_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,CHINA,2017-2018,1534.21,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,CHINA,2017-2018,0.51,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,CONGO D. REP.,2017-2018,0.02,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,COTE D' IVOIRE,2017-2018,0.17,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,CUBA,2017-2018,0.42,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,CZECH REPUBLIC,2017-2018,0.04,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,EGYPT A RP,2017-2018,0.13,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,ETHIOPIA,2017-2018,0.14,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,FRANCE,2017-2018,0.02,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,GERMANY,2017-2018,0.84,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,GERMANY,2017-2018,0.38,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,GHANA,2017-2018,0.02,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,GUINEA,2017-2018,0.02,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,HONG KONG,2017-2018,0.01,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,INDONESIA,2017-2018,37.28,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,INDONESIA,2017-2018,1.1,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,IRAN,2017-2018,0.11,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,IRAN,2017-2018,0.02,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,IRELAND,2017-2018,0.32,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,ITALY,2017-2018,0.11,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,ITALY,2017-2018,0.2,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,JAPAN,2017-2018,0.03,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,JAPAN,2017-2018,0.32,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,JORDAN,2017-2018,0.01,7403_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,KENYA,2017-2018,0.01,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,KENYA,2017-2018,0.3,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,KUWAIT,2017-2018,0.01,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,MALAWI,2017-2018,0.03,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,MALAYSIA,2017-2018,267.54,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,MALAYSIA,2017-2018,0.49,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,MALDIVES,2017-2018,0.01,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,MAURITANIA,2017-2018,0.25,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,MAURITIUS,2017-2018,0.08,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,MEXICO,2017-2018,0.02,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,NAMIBIA,2017-2018,0.01,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,NEPAL,2017-2018,0.06,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,NEPAL,2017-2018,29.99,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,NETHERLAND,2017-2018,0.68,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,NETHERLAND,2017-2018,1.65,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,NEW ZEALAND,2017-2018,0.01,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,NEW ZEALAND,2017-2018,0.06,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,NIGERIA,2017-2018,0.55,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,NORWAY,2017-2018,0.05,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,OMAN,2017-2018,16.05,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,OMAN,2017-2018,0.19,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,PAKISTAN IR,2017-2018,0.38,7403_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,PHILIPPINES,2017-2018,0.05,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,PHILIPPINES,2017-2018,0.04,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,POLAND,2017-2018,0.07,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,QATAR,2017-2018,0.02,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,QATAR,2017-2018,202.73,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,RWANDA,2017-2018,0.01,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,SAUDI ARAB,2017-2018,0.05,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SAUDI ARAB,2017-2018,2.95,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SENEGAL,2017-2018,0.38,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SIERRA LEONE,2017-2018,0.06,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,SINGAPORE,2017-2018,149.96,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SINGAPORE,2017-2018,0.22,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,SOUTH AFRICA,2017-2018,0.16,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SOUTH AFRICA,2017-2018,0.12,7408_2018-19.xlsx,2017
2603,Copper,Copper Ores & Concentrates,Export,SOUTH KOREA,2017-2018,0.11,2603_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,SOUTH KOREA,2017-2018,182.87,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SOUTH KOREA,2017-2018,0.29,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SPAIN,2017-2018,0.09,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,SRI LANKA DSR,2017-2018,0.35,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SRI LANKA DSR,2017-2018,5.48,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SUDAN,2017-2018,0.01,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SWEDEN,2017-2018,0.09,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,SWITZERLAND,2017-2018,0.18,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,TAIWAN,2017-2018,101.56,7403_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,TANZANIA,2017-2018,0.01,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,TANZANIA,2017-2018,0.14,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,THAILAND,2017-2018,5.07,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,THAILAND,2017-2018,0.43,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,TURKEY,2017-2018,0.4,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,U ARAB EMTS,2017-2018,142.36,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,U ARAB EMTS,2017-2018,6.87,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,UGANDA,2017-2018,0.04,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,UGANDA,2017-2018,0.01,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,UK,2017-2018,0.08,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,UK,2017-2018,0.36,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,USA,2017-2018,0.22,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,USA,2017-2018,0.77,7408_2018-19.xlsx,2017
7403,Copper,Refined Copper,Export,VIETNAM SOC REP,2017-2018,0.01,7403_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,VIETNAM SOC REP,2017-2018,0.61,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,ZAMBIA,2017-2018,0.01,7408_2018-19.xlsx,2017
7408,Copper,Copper Wire,Export,ARGENTINA,2018-2019,0.01,7408_2018-19.xlsx,2018
