date,year,month,fiscal_year,mineral,flow,hs_code,country,port,state,value_usd_mn,value_inr_cr,quantity_mt,unit_price_usd_mt
2017-04-01,2017,4,FY2017-18,Copper,Import,74031300,Chile,JNPT Mumbai,West Bengal,115.814,961.26,10586.14,10940.19
2017-04-01,2017,4,FY2017-18,Copper,Import,74031100,Indonesia,Kolkata,Maharashtra,99.311,824.284,9077.66,10940.19
2017-04-01,2017,4,FY2017-18,Copper,Import,74031300,Australia,Visakhapatnam,Rajasthan,50.678,420.629,4632.3,10940.19
2017-04-01,2017,4,FY2017-18,Copper,Import,74031100,Peru,Tuticorin,Gujarat,53.496,444.015,4889.84,10940.19
2017-04-01,2017,4,FY2017-18,Copper,Import,74020010,Japan,Kandla,Gujarat,39.378,326.835,3599.37,10940.19
2017-04-01,2017,4,FY2017-18,Copper,Import,74010010,South Korea,Tuticorin,Gujarat,32.785,272.112,2996.71,10940.19
2017-04-01,2017,4,FY2017-18,Copper,Import,74010010,Philippines,Cochin,Gujarat,25.034,207.779,2288.23,10940.19
2017-04-01,2017,4,FY2017-18,Copper,Import,26030090,Others,Chennai,Gujarat,58.277,483.696,5326.84,10940.19
2017-05-01,2017,5,FY2017-18,Copper,Import,26030010,Chile,JNPT Mumbai,Tamil Nadu,136.012,1128.899,13032.77,10436.15
2017-05-01,2017,5,FY2017-18,Copper,Import,74020010,Indonesia,Visakhapatnam,Gujarat,86.657,719.252,8303.53,10436.15
2017-05-01,2017,5,FY2017-18,Copper,Import,74031100,Australia,Chennai,Maharashtra,59.41,493.099,5692.67,10436.15
2017-05-01,2017,5,FY2017-18,Copper,Import,74031200,Peru,Chennai,Odisha,46.819,388.598,4486.23,10436.15
2017-05-01,2017,5,FY2017-18,Copper,Import,74031300,Japan,Kolkata,Maharashtra,36.259,300.951,3474.39,10436.15
2017-05-01,2017,5,FY2017-18,Copper,Import,74010010,South Korea,Tuticorin,West Bengal,23.683,196.571,2269.35,10436.15
2017-05-01,2017,5,FY2017-18,Copper,Import,74020010,Philippines,Cochin,Karnataka,25.302,210.006,2424.46,10436.15
2017-05-01,2017,5,FY2017-18,Copper,Import,74020010,Others,Cochin,West Bengal,60.288,500.389,5776.83,10436.15
2017-06-01,2017,6,FY2017-18,Copper,Import,26030090,Chile,Cochin,West Bengal,126.343,1048.643,10656.26,11856.18
2017-06-01,2017,6,FY2017-18,Copper,Import,26030090,Indonesia,Chennai,West Bengal,80.151,665.255,6760.29,11856.18
2017-06-01,2017,6,FY2017-18,Copper,Import,26030090,Australia,Kandla,Odisha,52.813,438.344,4454.43,11856.18
2017-06-01,2017,6,FY2017-18,Copper,Import,74031200,Peru,Visakhapatnam,Maharashtra,45.58,378.311,3844.37,11856.18
2017-06-01,2017,6,FY2017-18,Copper,Import,74031200,Japan,Kolkata,Karnataka,41.804,346.97,3525.89,11856.18
2017-06-01,2017,6,FY2017-18,Copper,Import,74031200,South Korea,Kandla,Andhra Pradesh,29.597,245.658,2496.37,11856.18
2017-06-01,2017,6,FY2017-18,Copper,Import,74010010,Philippines,Cochin,Tamil Nadu,21.607,179.334,1822.39,11856.18
