mineral,fiscal_year,flow,total_value_mn,num_countries
Copper,2017-2018,Export,2773.21,70
Copper,2017-2018,Import,6062.759999999999,56
Copper,2018-2019,Export,651.34,71
Copper,2018-2019,Import,4179.6,53
Copper,2019-2020,Export,590.76,75
Copper,2019-2020,Import,3547.53,46
Copper,2020-2021,Export,911.43,75
Copper,2020-2021,Import,2523.17,44
Copper,2021-2022,Export,1393.0299999999997,73
Copper,2021-2022,Import,5226.29,47
Copper,2022-2023,Export,750.4499999999999,73
Copper,2022-2023,Import,5828.88,46
Copper,2023-2024,Export,1354.0900000000001,79
Copper,2023-2024,Import,7379.160000000001,53
Copper,2024-2025,Export,993.4200000000001,77
Copper,2024-2025,Import,7732.65,48
Graphite,2017-2018,Export,34.269999999999996,52
Graphite,2017-2018,Import,120.03999999999999,38
Graphite,2018-2019,Export,53.93,61
Graphite,2018-2019,Import,129.13,42
Graphite,2019-2020,Export,50.510000000000005,58
Graphite,2019-2020,Import,95.31,40
Graphite,2020-2021,Export,38.65,58
Graphite,2020-2021,Import,97.63,40
Graphite,2021-2022,Export,55.43,59
Graphite,2021-2022,Import,144.62,43
Graphite,2022-2023,Export,53.02,58
Graphite,2022-2023,Import,185.64,39
Graphite,2023-2024,Export,59.94,61
Graphite,2023-2024,Import,193.32,40
Graphite,2024-2025,Export,62.26,65
Graphite,2024-2025,Import,169.65,43
Lithium,2017-2018,Export,31.43,67
Lithium,2017-2018,Import,295.01,45
Lithium,2018-2019,Export,31.85,69
Lithium,2018-2019,Import,310.94,43
Lithium,2019-2020,Export,25.84,70
Lithium,2019-2020,Import,253.23,49
Lithium,2020-2021,Export,52.04,72
Lithium,2020-2021,Import,232.41,47
Lithium,2021-2022,Export,47.07,70
Lithium,2021-2022,Import,374.07,50
Lithium,2022-2023,Export,76.82,69
Lithium,2022-2023,Import,493.68,45
Lithium,2023-2024,Export,76.97,73
Lithium,2023-2024,Import,376.27000000000004,49
Lithium,2024-2025,Export,108.94,81
Lithium,2024-2025,Import,383.87,45
